x,y,z
-90.739497,254.241995,10.285500
-91.165072,254.012559,10.339799
-91.581552,253.776934,10.393540
-91.988886,253.535101,10.446743
-92.387026,253.287040,10.499426
-92.775922,253.032730,10.551612
-93.155525,252.772151,10.603323
-93.525784,252.505285,10.654582
-93.886651,252.232109,10.705413
-94.238075,251.952606,10.755842
-94.580008,251.666753,10.805896
-94.912400,251.374533,10.855601
-95.235201,251.075924,10.904987
-95.548361,250.770906,10.954084
-95.851832,250.459460,11.002921
-96.145563,250.141566,11.051531
-96.429506,249.817203,11.099945
-96.703610,249.486352,11.148198
-96.967826,249.148993,11.196324
-97.222105,248.805105,11.244357
-97.466396,248.454669,11.292333
-97.700651,248.097664,11.340289
-97.924820,247.734071,11.388261
-98.138853,247.363870,11.436286
-98.342701,246.987040,11.484403
-98.536315,246.603562,11.532649
-98.719644,246.213416,11.581062
-98.892639,245.816582,11.629681
-99.055251,245.413039,11.678544
-99.207431,245.002767,11.727688
-99.349128,244.585748,11.777153
-99.480293,244.161960,11.826976
-99.600876,243.731384,11.877193
-99.710829,243.294000,11.927844
-99.810101,242.849787,11.978964
-99.898643,242.398726,12.030588
-99.976406,241.940797,12.082754
-100.043339,241.475980,12.135496
-100.099394,241.004254,12.188847
-100.144521,240.525600,12.242843
-100.178670,240.039999,12.297515
-100.201844,239.547447,12.352894
-100.214130,239.047975,12.409006
-100.215628,238.541615,12.465875
-100.206434,238.028400,12.523522
-100.186647,237.508363,12.581969
-100.156365,236.981536,12.641234
-100.115685,236.447953,12.701334
-100.064706,235.907645,12.762285
-100.003525,235.360646,12.824101
-99.932240,234.806988,12.886795
-99.850950,234.246703,12.950378
-99.759752,233.679826,13.014862
-99.658744,233.106388,13.080256
-99.548024,232.526422,13.146567
-99.427690,231.939961,13.213804
-99.297840,231.347037,13.281973
-99.158572,230.747683,13.351079
-99.009983,230.141932,13.421127
-98.852172,229.529817,13.492121
-98.685236,228.911370,13.564064
-98.509274,228.286624,13.636958
-98.324383,227.655612,13.710806
-98.130661,227.018366,13.785608
-97.928207,226.374919,13.861365
-97.717118,225.725304,13.938078
-97.497491,225.069554,14.015745
-97.269426,224.407700,14.094366
-97.033020,223.739777,14.173940
-96.788370,223.065816,14.254464
-96.535575,222.385850,14.335937
-96.274733,221.699913,14.418356
-96.005941,221.008036,14.501718
-95.729298,220.310253,14.586019
-95.444901,219.606595,14.671257
-95.152848,218.897097,14.757426
-94.853237,218.181790,14.844524
